sample_id,visit_id,pcr_primers_ae,total_sequencing_reads_ae,reads_with_pcr_primers_ae,filtered_reads_ae,pcr_primers_tb,total_sequencing_reads_tb,reads_with_pcr_primers_tb,filtered_reads_tb,anaplasma_bovis_u03775_ae,anaplasma_bovis_ab983439_ae,anaplasma_marginale_cp000030_ae,anaplasma_platys_like_ku585990_ae,anaplasma_phagocytophilum_u02521_ae,candidatus_anaplasma_boleense_ku586025_ae,uncultured_anaplasma_sp_clone_saso_ky924885_ae,uncultured_anaplasma_sp_jn862825_ae,ehrlichia_sp_tibet_ehrlichia_canis_ehrlichia_minasensis_af414399_ay394465_mt163430_ae,ehrlichia_ruminantium_x61659_ae,anaplasma_platys_ef139459_ae,babesia_bigemina_ay603402_tb,babesia_bigemina_lk391709_tb,babesia_bigemina_ku206291_tb,theileria_mutans_af078815_tb,theileria_sp_strain_msd_af078816_tb,theileria_parva_l02366_tb,theileria_taurotragi_l19082_tb,theileria_velifera_af097993_tb,babesia_bovis_kf928959_tb,babesia_bovis_aaxt01000002_tb,babesia_bovis_ay603398_tb,babesia_bigemina_lk391709_2_tb,babesia_bovis_jq437260_tb,calf_id,visit_date,dead_or_alive_at_end_of_study,date_last_visit_with_data,date_of_birth,calf_sex,serology_t_parva,serology_t_mutans,serology_b_bigemina,serology_a_marginale,sample_week,date_of_death,euthanised,immediate_cause_pathology,definitive_aetiological_cause,definitive_cause_pathogen,contributing_pathology_1,contributing_cause_1,agro_ecological_zones,haemonchosis_coinfection,dead_or_alive_simple,event,time_to_event,genotype,died
RED000002,VRC010211,AnEh,4550,2436,2079,ThBa,922,71,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA030810211,2007-10-08,Dead: Infectious death,2007-12-17,2007-10-02,M,52,12,106,18,1,2007-10-17,No,Asphyxia,Censored,NA,Viral pneumonia,Unknown,Igero (8),absent,Dead,0,2.142857142857143,CT,Other
RED000004,VRC010361,AnEh,7824,5486,4594,ThBa,441,113,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA031310361,2007-10-09,Alive,NA,2007-10-04,M,90.5,33,87.5,33.5,1,NA,NA,NA,Alive,NA,NA,NA,Yiro West (13),NA,Alive,0,51,CT,No
RED000006,VRC010002,AnEh,15224,8145,7282,ThBa,3680,86,63,0,0,0,3291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA010110002,2007-10-10,Dead: Infectious death,2008-05-07,2007-10-04,M,53,20,125,75.5,1,2008-05-23,No,Anemia (whole blood loss),Censored,Haemonchus placei,NA,NA,East Siboti (1),absent,Dead,0,33.142857142857146,TT,Other
RED000008,VRC010001,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA010110001,2007-10-10,Alive,NA,2007-10-06,F,59,43,20.5,35.5,1,NA,NA,NA,Alive,NA,NA,NA,East Siboti (1),NA,Alive,0,51,CT,No
RED000010,VRC010152,AnEh,2401,1614,1359,ThBa,24,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA020610152,2007-10-11,Alive,NA,2007-10-04,M,32,9,20.5,27.5,1,NA,NA,NA,Alive,NA,NA,NA,Karisa (6),NA,Alive,0,51,TT,No
RED000012,VRC010331,AnEh,1436,1025,859,ThBa,68,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA031210331,2007-10-15,Alive,NA,2007-10-08,M,92,19.5,13.5,54,1,NA,NA,NA,Alive,NA,NA,NA,Bumala A (12),NA,Alive,0,51,CT,No
RED000014,VRC010092,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA020410092,2007-10-17,Alive,NA,2007-10-13,M,78.5,30.5,40.5,17,1,NA,NA,NA,Alive,NA,NA,NA,Mabusi (4),NA,Alive,0,51,CT,No
RED000016,VRC010091,AnEh,6968,3880,3234,ThBa,1039,186,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA020410091,2007-10-17,Alive,NA,2007-10-12,M,19,16,12.5,18.5,1,NA,NA,NA,Alive,NA,NA,NA,Mabusi (4),NA,Alive,0,51,CC,No
RED000019,VRC010061,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA010310061,2007-10-22,Alive,NA,2007-10-16,F,84,80,23,71.5,1,NA,NA,NA,Alive,NA,NA,NA,Kokare (3),NA,Alive,0,51,CC,No
RED000024,VRC010482,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA041710482,2007-10-23,Alive,NA,2007-10-16,M,108.5,22,6.5,18.5,1,NA,NA,NA,Alive,NA,NA,NA,Kodiere (17),NA,Alive,0,51,CC,No
