"calf_id","calf_sex","weight","sample_week","agro_ecological_zones"
"CA030810211","M","18",1,"Igero (8)"
"CA031310361","M","18",1,"Yiro West (13)"
"CA010110002","M","23",1,"East Siboti (1)"
"CA010110001","F","20",1,"East Siboti (1)"
"CA020610152","M","23",1,"Karisa (6)"
"CA031210331","M","21",1,"Bumala A (12)"
"CA020410092","M","12",1,"Mabusi (4)"
"CA020410091","M","16",1,"Mabusi (4)"
"CA010310061","F","13",1,"Kokare (3)"
"CA041710482","M","21",1,"Kodiere (17)"
"CA030710181","F","19",1,"Otimong (7)"
"CA051810511","M","16",1,"Luanda (18)"
"CA010210031","F","18",1,"Kidera (2)"
"CA031010271","M","22",1,"Bukati (10)"
"CA030910241","F","13",1,"Bulwani (9)"
"CA031010272","M","19",1,"Bukati (10)"
"CA031410391","M","25",1,"Simur East (14)"
"CA030910242","F","9",1,"Bulwani (9)"
"CA052010571","M","19",1,"Magombe East (20)"
"CA020510121","F","17",1,"Kamunuoit (5)"
"CA041510421","M","23",1,"Namboboto (15)"
"CA041510422","F","10",1,"Namboboto (15)"
"CA051910541","F","NA",3.28571428571429,"Bujwanga (19)"
"CA020510122","M","16",1,"Kamunuoit (5)"
"CA020610151","M","19",1,"Karisa (6)"
"CA030810212","M","15.5",1,"Igero (8)"
"CA030810211","M","20.5",6,"Igero (8)"
"CA030810213","M","16",1,"Igero (8)"
"CA031310362","M","18",1,"Yiro West (13)"
"CA031310361","M","19.5",6,"Yiro West (13)"
"CA020610153","F","16",1,"Karisa (6)"
"CA010110001","F","24",6,"East Siboti (1)"
"CA010110004","F","22",1,"East Siboti (1)"
"CA010110002","M","27",6,"East Siboti (1)"
"CA020610152","M","38",6,"Karisa (6)"
"CA030710183","F","18",1,"Otimong (7)"
"CA031210331","M","23.5",6,"Bumala A (12)"
"CA030710182","M","18",1,"Otimong (7)"
"CA020410093","M","18.5",1,"Mabusi (4)"
"CA010310062","F","14",1,"Kokare (3)"
"CA010310063","M","21",1,"Kokare (3)"
"CA041610451","F","14",1,"Ojwando B (16)"
"CA030910243","F","14",1,"Bulwani (9)"
"CA031010273","M","17",1,"Bukati (10)"
"CA020410092","M","13",6,"Mabusi (4)"
"CA020410091","M","23",6,"Mabusi (4)"
"CA030710181","F","23",6,"Otimong (7)"
"CA041710482","M","28.5",6,"Kodiere (17)"
"CA010310061","F","16.5",6,"Kokare (3)"
"CA030910242","F","19",6,"Bulwani (9)"
"CA030910241","F","22",6,"Bulwani (9)"
"CA051810511","M","23.5",6,"Luanda (18)"
"CA031410391","M","38",6,"Simur East (14)"
"CA010210031","F","23.5",6,"Kidera (2)"
"CA010210032","F","16",1,"Kidera (2)"
"CA010210033","F","16",1,"Kidera (2)"
"CA010310061","F","NA",7.28571428571429,"Kokare (3)"
"CA041510422","F","15",6,"Namboboto (15)"
"CA041510421","M","34",6,"Namboboto (15)"
"CA031010272","M","33",6,"Bukati (10)"
"CA031010271","M","34",6,"Bukati (10)"
"CA052010571","M","27",6,"Magombe East (20)"
"CA020510121","F","26",6,"Kamunuoit (5)"
"CA020510122","M","19",6,"Kamunuoit (5)"
