"sample_week","n_calves","n_deaths","n_alive_or_censored"
1,447,31,417
2,2,1,1
3,7,4,3
4,2,1,1
5,2,0,2
6,405,26,383
7,5,2,3
8,4,1,3
9,5,0,5
10,2,0,2
11,399,18,382
12,5,2,3
14,3,1,2
15,3,1,2
16,387,13,377
17,3,1,2
18,1,1,0
19,4,1,3
20,1,0,1
21,391,10,387
22,4,0,4
23,1,1,0
24,4,2,2
25,1,0,1
26,389,6,384
27,3,0,3
28,3,1,2
29,1,0,1
30,1,1,0
31,379,3,379
32,3,0,3
33,3,0,3
34,3,0,3
35,1,0,1
36,372,3,370
37,3,2,1
38,1,0,1
39,2,0,2
41,370,2,368
43,3,1,2
44,1,1,0
46,370,1,369
47,1,0,1
48,1,0,1
49,1,0,1
50,1,0,1
51,357,0,357
